airport,latitude,longitude
EWR,40.689064,-74.1772549
LGA,40.7757145,-73.873364
JFK,40.6429479,-73.7793734
IAH,29.9841416,-95.332986
MIA,25.7949789,-80.2867234
BQN,18.4934606,-67.1342159
ATL,33.6374008,-84.4298161
ORD,41.9782523,-87.9092355
FLL,26.072017,-80.1509967
IAD,38.9522663,-77.4534849
MCO,28.4129036,-81.3094431
PBI,26.6859478,-80.0924865
TPA,27.9791649,-82.5349276
LAX,33.9421675,-118.4213591
SFO,37.622452,-122.3839894
DFW,32.8965194,-97.0465221
BOS,42.3631766,-71.0136401
LAS,36.0861034,-115.1611002
MSP,44.8780191,-93.2209281
DTW,42.2056991,-83.3529754
RSW,26.5329498,-81.7588056
SJU,18.4431995,-65.9974304
PHX,33.4328486,-112.0067915
BWI,39.1828341,-76.6698273
CLT,35.2107415,-80.9457435
BUF,42.9402016,-78.7307523
DEN,39.8606676,-104.6853673
SNA,33.6742048,-117.8680243
MSY,29.9942002,-90.2643044
SLC,40.7900661,-111.9798985
XNA,36.27981,-94.3025902
MKE,42.9465423,-87.8972578
SEA,47.4475673,-122.3080159
ROC,43.1161699,-77.6726934
SYR,43.1141752,-76.1191445
SRQ,27.3959884,-82.5540742
RDU,35.8803614,-78.7872382
CMH,39.997056,-82.8930477
JAX,30.49375,-81.6930382
CHS,32.8992985,-80.039465
MEM,35.0462565,-89.9768947
PIT,40.4917827,-80.2370245
SAN,32.7333608,-117.1922464
DCA,38.8512894,-77.0396889
CLE,41.4064537,-81.851101
STL,38.7496273,-90.3704702
MYR,33.6806406,-78.9290597
JAC,43.6087926,-110.7380325
MDW,41.7855141,-87.7517243
HNL,21.3211569,-157.9184416
BNA,36.1195848,-86.6826622
AUS,30.1934892,-97.6650096
BTV,44.4728965,-73.1514614
PHL,39.875018,-75.2352128
STT,18.334769,-64.9724536
EGE,39.6422568,-106.9172206
AVL,35.4364233,-82.540881
PWM,43.6461776,-70.314412
IND,39.7162533,-86.2950839
SAV,32.1242376,-81.1977064
CAK,40.9152061,-81.4399242
HOU,29.647149,-95.2769303
LGB,33.8155659,-118.1534292
DAY,39.9053187,-84.2202454
ALB,42.7480159,-73.7985556
BDL,41.9406881,-72.6849968
MHT,42.9306656,-71.4388087
MSN,43.1420815,-89.3377453
GSO,36.1020574,-79.944597
CVG,39.0499064,-84.6651575
BUR,34.2031726,-118.3591782
RIC,37.5073698,-77.3336845
GSP,34.8954456,-82.2172285
GRR,42.8766103,-85.5362909
MCI,39.3022045,-94.720828
ORF,36.8946697,-76.2022963
SAT,29.5334021,-98.4692144
SDF,38.1716962,-85.7354076
PDX,45.5871326,-122.5927798
SJC,37.3633299,-121.9293365
OMA,41.3011252,-95.8898709
CRW,38.3729475,-81.5942197
OAK,37.7222591,-122.2170166
SMF,38.6872235,-121.5903701
TUL,36.2010229,-95.8868136
TYS,35.809553,-83.9988717
OKC,35.3848053,-97.6053443
PVD,41.72244,-71.4285882
DSM,41.5345493,-93.6592394
PSE,18.008886,-66.5633497
BHM,33.5634957,-86.7515273
CAE,33.9388631,-81.1139715
HDN,40.4844693,-107.220936
BZN,45.7834995,-111.1569824
MTJ,38.5118206,-107.892488
EYW,24.5554773,-81.759616
PSP,33.8303392,-116.5096453
ACK,41.2558239,-70.0580378
BGR,44.8072619,-68.8194149
ABQ,35.0376694,-106.6109675
ILM,34.2724505,-77.90924
MVY,41.3923919,-70.6145957
SBN,41.7091043,-86.3232534
LEX,38.0348043,-84.6049217
TVC,44.7417371,-85.5802553
ANC,61.1810353,-149.9978919
